"Repository","RepositoryURL","FilePath","FileURL","FileType"
"99zardoz/github.io","https://github.com/99zardoz/github.io","index.md","https://github.com/99zardoz/github.io/blob/2a496199ba4ec4d64acf87aae850774af667ef62/index.md","MD"
"99zardoz/github.io","https://github.com/99zardoz/github.io","NHSPython.md","https://github.com/99zardoz/github.io/blob/2a496199ba4ec4d64acf87aae850774af667ef62/NHSPython.md","MD"
"abbass97/saimaaabbas-portfolio","https://github.com/abbass97/saimaaabbas-portfolio","employer_project.html","https://github.com/abbass97/saimaaabbas-portfolio/blob/b8ce6bcf8f82fcfe81e41a66630f111692e0912b/employer_project.html","HTML"
"abbass97/saimaaabbas-portfolio","https://github.com/abbass97/saimaaabbas-portfolio","projects.html","https://github.com/abbass97/saimaaabbas-portfolio/blob/b8ce6bcf8f82fcfe81e41a66630f111692e0912b/projects.html","HTML"
"abbass97/saimaaabbas-portfolio","https://github.com/abbass97/saimaaabbas-portfolio","turtle_games.html","https://github.com/abbass97/saimaaabbas-portfolio/blob/b8ce6bcf8f82fcfe81e41a66630f111692e0912b/turtle_games.html","HTML"
"abbass97/turtle_games","https://github.com/abbass97/turtle_games","course3_assignment_v2.R","https://github.com/abbass97/turtle_games/blob/b68f475db500783a9492a7b4d6fc814a1d37739c/course3_assignment_v2.R","R"
"ahsanvelosi/bismillah","https://github.com/ahsanvelosi/bismillah","LSE_DA201_Assignment_template.ipynb","https://github.com/ahsanvelosi/bismillah/blob/9f662dc15363a55f3eda1d9217d81cc8b154cf22/LSE_DA201_Assignment_template.ipynb","IPYNB"
"andrear1494/andrear1494","https://github.com/andrear1494/andrear1494","README.md","https://github.com/andrear1494/andrear1494/blob/21a3b3efc477f7fedc93381072bf3186df4c01c9/README.md","MD"
"AngusRatski/Data_Analyst_Portfolio","https://github.com/AngusRatski/Data_Analyst_Portfolio","README.md","https://github.com/AngusRatski/Data_Analyst_Portfolio/blob/bc96d9be60d667f3704827ff168b1b4042d5f838/README.md","MD"
"AnnoraNg/AnnoraNg","https://github.com/AnnoraNg/AnnoraNg","README.md","https://github.com/AnnoraNg/AnnoraNg/blob/37e380e52053ba6c476a096e023649d0094d44b4/README.md","MD"
"AnnoraNg/NHS","https://github.com/AnnoraNg/NHS","README.md","https://github.com/AnnoraNg/NHS/blob/4f554e6d1c2488c1c2e0173ec91e6942975d6ece/README.md","MD"
"AnnoraNg/TurtleGames","https://github.com/AnnoraNg/TurtleGames","README.md","https://github.com/AnnoraNg/TurtleGames/blob/d5d3cda0c9114848c781d5bfb84aee6b5b94d79c/README.md","MD"
"ARHilton/Data-Analysis-Portfolio","https://github.com/ARHilton/Data-Analysis-Portfolio","Game_Retailer_Sales_Analysis.R","https://github.com/ARHilton/Data-Analysis-Portfolio/blob/a883bf44124d605c390c7feb5c3db969f05a8441/Game_Retailer_Sales_Analysis.R","R"
"artemis1005/Data_Analytics_and_Engineering_Portfolio","https://github.com/artemis1005/Data_Analytics_and_Engineering_Portfolio","Healthcare Service Insights/Data/Assignment_Dataset_Course_2/LSE_DA201_Assignment_files- UPDATED/__MACOSX/LSE_DA201_Assignment_files/LSE_DA201_Assignment_Template.ipynb","https://github.com/artemis1005/Data_Analytics_and_Engineering_Portfolio/blob/ff79c5d47c1f8375791e3a13ca6723a16f9f4489/Healthcare%20Service%20Insights/Data/Assignment_Dataset_Course_2/LSE_DA201_Assignment_files-%20UPDATED/__MACOSX/LSE_DA201_Assignment_files/LSE_DA201_Assignment_Template.ipynb","IPYNB"
"artemis1005/Data_Analytics_and_Engineering_Portfolio","https://github.com/artemis1005/Data_Analytics_and_Engineering_Portfolio","Healthcare Service Insights/Data/Assignment_Dataset_Course_2/LSE_DA201_Assignment_files- UPDATED/LSE_DA201_Assignment_files/LSE_DA201_Assignment_template.ipynb","https://github.com/artemis1005/Data_Analytics_and_Engineering_Portfolio/blob/ff79c5d47c1f8375791e3a13ca6723a16f9f4489/Healthcare%20Service%20Insights/Data/Assignment_Dataset_Course_2/LSE_DA201_Assignment_files-%20UPDATED/LSE_DA201_Assignment_files/LSE_DA201_Assignment_template.ipynb","IPYNB"
"artemis1005/Data_Analytics_and_Engineering_Portfolio","https://github.com/artemis1005/Data_Analytics_and_Engineering_Portfolio","README.md","https://github.com/artemis1005/Data_Analytics_and_Engineering_Portfolio/blob/ff79c5d47c1f8375791e3a13ca6723a16f9f4489/README.md","MD"
"asafrubin00/AsafRubin00","https://github.com/asafrubin00/AsafRubin00","README.md","https://github.com/asafrubin00/AsafRubin00/blob/4aeb4b2e686f3009b725b3808e71929d84c8d99b/README.md","MD"
"charliedgarrod/charliedgarrod","https://github.com/charliedgarrod/charliedgarrod","README.md","https://github.com/charliedgarrod/charliedgarrod/blob/c61a2b996b11f9bbcdc6bc3e1fe1916c69c48225/README.md","MD"
"charliedgarrod/LSE-Career-Accelerator","https://github.com/charliedgarrod/LSE-Career-Accelerator","Course 2: Data Analytics Using Python/Diagnostic Analysis Using Python Assignment.ipynb","https://github.com/charliedgarrod/LSE-Career-Accelerator/blob/6bd3365d73cffb9e0c83e9e06b0d538fb11c5f80/Course%202:%20Data%20Analytics%20Using%20Python/Diagnostic%20Analysis%20Using%20Python%20Assignment.ipynb","IPYNB"
"charliedgarrod/LSE-Career-Accelerator","https://github.com/charliedgarrod/LSE-Career-Accelerator","Course 3: Advanced Analytics for Organisational Impact/Garrod_Charles_DA301_Assignment_Rscript.R","https://github.com/charliedgarrod/LSE-Career-Accelerator/blob/6bd3365d73cffb9e0c83e9e06b0d538fb11c5f80/Course%203:%20Advanced%20Analytics%20for%20Organisational%20Impact/Garrod_Charles_DA301_Assignment_Rscript.R","R"
"charliedgarrod/LSE-Career-Accelerator","https://github.com/charliedgarrod/LSE-Career-Accelerator","README.md","https://github.com/charliedgarrod/LSE-Career-Accelerator/blob/6bd3365d73cffb9e0c83e9e06b0d538fb11c5f80/README.md","MD"
"CiaraWilliams1/My-bio","https://github.com/CiaraWilliams1/My-bio","README.md","https://github.com/CiaraWilliams1/My-bio/blob/2732af549c746cbebf31f60418425fdcceb1b269/README.md","MD"
"gamzebb/group-project","https://github.com/gamzebb/group-project","README.md","https://github.com/gamzebb/group-project/blob/894612d2cf9db7e4162cb985c748f91ec60ae771/README.md","MD"
"garcianatalia/Garcia_Natalia_DA301_Assignment","https://github.com/garcianatalia/Garcia_Natalia_DA301_Assignment","Garcia_Natalia_DA301_Assignment_Rscript.R","https://github.com/garcianatalia/Garcia_Natalia_DA301_Assignment/blob/ce9cb2491f1e4969042f51e080402c7da76a2fac/Garcia_Natalia_DA301_Assignment_Rscript.R","R"
"harry843/my-website","https://github.com/harry843/my-website","src/component/CV/Experience/utils/jobs.ts","https://github.com/harry843/my-website/blob/8b5e4fee21129659f5f40928357d8581dd61daa2/src/component/CV/Experience/utils/jobs.ts","TS"
