"Repository","URL","Description","Stars","Language","LastUpdated","FoundIn","SearchType"
"99zardoz/github.io","https://github.com/99zardoz/github.io","","","","","Code Search","Code Content"
"99zardoz/LSE_ProjectWork","https://github.com/99zardoz/LSE_ProjectWork","A repository containing Jupyter Notebooks, written reports and other outputs from my work on the LSE Data Analytics career accelerator course","0","Jupyter Notebook","2025-08-25T13:52:20Z","Repository Search","Name/Description/README"
"abbass97/project-nhs","https://github.com/abbass97/project-nhs","Jupyter Notebook for LSE Data Analytics Course 2 - Exploratory Analysis with Python. ","0","Jupyter Notebook","2025-04-25T00:47:16Z","Repository Search","Name/Description/README"
"abbass97/saimaaabbas-portfolio","https://github.com/abbass97/saimaaabbas-portfolio","","","","","Code Search","Code Content"
"abbass97/turtle_games","https://github.com/abbass97/turtle_games","","","","","Code Search","Code Content"
"AbhishekPillai149/LSE_DA_NHS_analysis","https://github.com/AbhishekPillai149/LSE_DA_NHS_analysis","","0","Jupyter Notebook","2022-10-24T15:41:07Z","Repository Search","Name/Description/README"
"ADB232/Data-Analytics","https://github.com/ADB232/Data-Analytics","","0","Jupyter Notebook","2024-06-12T10:17:58Z","Repository Search","Name/Description/README"
"ahsanvelosi/bismillah","https://github.com/ahsanvelosi/bismillah","","","","","Code Search","Code Content"
"AlejandraAnguilVanier/Data_Analyst_Portfolio","https://github.com/AlejandraAnguilVanier/Data_Analyst_Portfolio","This repository contains Data Analytics projects completed during the LSE Data Analytics Career Accelerator, ranging from SQL, Python, Tableau, Excel and R.","0","Jupyter Notebook","2023-12-10T17:20:48Z","Repository Search","Name/Description/README"
"alexandergcox/R","https://github.com/alexandergcox/R","This repository contains the LSE data analytics course and practical activities conducted with R in RStudio","1","R","2023-10-22T21:35:49Z","Repository Search","Name/Description/README"
"andrear1494/andrear1494","https://github.com/andrear1494/andrear1494","","0","Not specified","2024-10-03T16:19:14Z","Repository Search + Code Search","Multiple"
"AngusRatski/Data_Analyst_Portfolio","https://github.com/AngusRatski/Data_Analyst_Portfolio","A showcase of my skills and projects","0","Not specified","2023-05-03T08:56:06Z","Repository Search + Code Search","Multiple"
"AnnoraNg/AnnoraNg","https://github.com/AnnoraNg/AnnoraNg","","0","Not specified","2025-07-28T11:30:45Z","Repository Search + Code Search","Multiple"
"AnnoraNg/BankOfEngland","https://github.com/AnnoraNg/BankOfEngland","In this project, I supported the Bank of England in analysing sentiment across policy speeches from 20192022 using text analytics. By applying FinBERT and exploring tone shifts by speaker and event, I translated central bank communication trends into insights that inform economic narrative and policy direction.","0","Not specified","2025-06-24T02:11:56Z","Repository Search","Name/Description/README"
"AnnoraNg/NHS","https://github.com/AnnoraNg/NHS","In this project, I supported the NHS in identifying patterns in appointment utilisation, staffing needs, and missed appointments using data analytics. By exploring large-scale healthcare data, I translated raw trends into actionable recommendationshelping inform smarter scheduling, reduce no-shows, and improve resource efficiency across the system","0","Jupyter Notebook","2025-05-30T03:04:05Z","Repository Search + Code Search","Multiple"
"AnnoraNg/TurtleGames","https://github.com/AnnoraNg/TurtleGames","In this project, I supported Turtle Games in identifying loyalty drivers, customer segments, and sentiment trends using data analytics. By analysing customer behaviour and review data, I translated patterns into actionable recommendationshelping refine targeting strategies, improve retention, and optimise loyalty campaigns.","0","Jupyter Notebook","2025-05-30T03:25:22Z","Repository Search + Code Search","Multiple"
"anott1/Nott_Alex_DA301_Assignment","https://github.com/anott1/Nott_Alex_DA301_Assignment","R and Python scripts, technical report and presentation for Turtle Games assignment. ","0","Jupyter Notebook","2023-07-24T12:11:09Z","Repository Search","Name/Description/README"
"ARHilton/Data-Analysis-Portfolio","https://github.com/ARHilton/Data-Analysis-Portfolio","","","","","Code Search","Code Content"
"artemis1005/Data_Analytics_and_Engineering_Portfolio","https://github.com/artemis1005/Data_Analytics_and_Engineering_Portfolio","This repository showcases assignments and projects completed during the LSE Data Analytics program, highlighting skills in Python, SQL, Tableau, and data engineering.","0","Jupyter Notebook","2025-03-24T12:14:44Z","Repository Search + Code Search","Multiple"
"asafrubin00/AsafRubin00","https://github.com/asafrubin00/AsafRubin00","My GitHub Profile","0","Not specified","2025-07-17T07:43:06Z","Repository Search + Code Search","Multiple"
"asafrubin00/Employer-Project","https://github.com/asafrubin00/Employer-Project","Delivering real business value","0","Not specified","2023-08-14T16:01:51Z","Repository Search","Name/Description/README"
"asafrubin00/LSE-Advanced-Analytics-for-Organisational-Impact","https://github.com/asafrubin00/LSE-Advanced-Analytics-for-Organisational-Impact","A practical activity undertaken for the LSE Data Analytics Career Accelerator, Course 3: Advanced Analytics for Organisational Impact.  Provided data for a fiction games company was analysed and visualised using Python and R. Simple and Multiple Regression, K-Means Clustering, Natural Language Processing and Normality Testing were used.","1","Jupyter Notebook","2024-09-24T17:26:07Z","Repository Search","Name/Description/README"
"asafrubin00/LSE-Data-Analytics-Career-Accelerator","https://github.com/asafrubin00/LSE-Data-Analytics-Career-Accelerator","Practical activities in Python and R across three courses of the LSE Data Analytics Career Accelerator.","0","Jupyter Notebook","2023-08-03T16:06:02Z","Repository Search","Name/Description/README"
"asafrubin00/LSE-Data-Analytics-for-Business","https://github.com/asafrubin00/LSE-Data-Analytics-for-Business","","0","Not specified","2023-08-14T13:43:41Z","Repository Search","Name/Description/README"
"asafrubin00/LSE-Data-Analytics-Using-Python","https://github.com/asafrubin00/LSE-Data-Analytics-Using-Python","","0","Jupyter Notebook","2023-08-14T13:42:43Z","Repository Search","Name/Description/README"
"AVanVeijeren/LSE_DataAnalyticsUsingPython","https://github.com/AVanVeijeren/LSE_DataAnalyticsUsingPython","This data analysis project uses two data sets containing fictional Covid-19 case and vaccination data to derive insights for a data-driven Vaccination Campaign.","0","Jupyter Notebook","2023-06-04T18:50:55Z","Repository Search","Name/Description/README"
"BeatriceFerreira/Python-LSE-","https://github.com/BeatriceFerreira/Python-LSE-","Projects required for LSE data analytics course ","0","Jupyter Notebook","2022-10-18T12:08:15Z","Repository Search","Name/Description/README"
"BenParky1/LSE_COVID_Analysis","https://github.com/BenParky1/LSE_COVID_Analysis","Repo for Assignement 2 of the LSE Data Analytics Course","0","Jupyter Notebook","2022-07-10T11:45:56Z","Repository Search","Name/Description/README"
"BenParky1/Python_Course","https://github.com/BenParky1/Python_Course","Repo for storing Python files","0","Jupyter Notebook","2022-06-09T18:39:08Z","Repository Search","Name/Description/README"
"charliedgarrod/charliedgarrod","https://github.com/charliedgarrod/charliedgarrod","Config files for my GitHub profile.","0","Not specified","2025-06-19T07:08:17Z","Repository Search + Code Search","Multiple"
"charliedgarrod/LSE-Career-Accelerator","https://github.com/charliedgarrod/LSE-Career-Accelerator","This is a portfolio of the projects completed while undertaking the London School of Economics' Career Accelerator in Data Analytics.","0","Jupyter Notebook","2025-06-23T07:44:13Z","Repository Search + Code Search","Multiple"
"chrdtr/chrdtr","https://github.com/chrdtr/chrdtr","","0","Not specified","2023-06-29T08:38:58Z","Repository Search","Name/Description/README"
"CiaraWilliams1/My-bio","https://github.com/CiaraWilliams1/My-bio","","0","Not specified","2024-11-26T16:11:38Z","Repository Search + Code Search","Multiple"
"cjboisvert/Exploratory_Analysis_Insights","https://github.com/cjboisvert/Exploratory_Analysis_Insights","Assignment as part of LSE Data Analytics course. ","0","Not specified","2022-11-14T12:27:39Z","Repository Search","Name/Description/README"
"CLAHO/turtle_games_customer","https://github.com/CLAHO/turtle_games_customer","","0","Not specified","2025-07-15T23:22:36Z","Repository Search","Name/Description/README"
"CLAHO/turtle-games-customer","https://github.com/CLAHO/turtle-games-customer","","0","Not specified","2025-07-30T08:47:35Z","Repository Search","Name/Description/README"
"cszabo725/LSE_DA301_Assignment_3_Turtle_Games_by_Carl_Szabo","https://github.com/cszabo725/LSE_DA301_Assignment_3_Turtle_Games_by_Carl_Szabo","LSE Data Analytics Accelerator: Module 3 Assignment","0","Jupyter Notebook","2022-09-11T20:10:05Z","Repository Search","Name/Description/README"
"daleparr/LSE","https://github.com/daleparr/LSE","","0","Jupyter Notebook","2024-08-14T14:00:26Z","Repository Search","Name/Description/README"
"danthorneloe/LSE_DA_COVID_analysis","https://github.com/danthorneloe/LSE_DA_COVID_analysis","COVID-19 analysis exercise for course 2 of the LSE Data Analytics Accelerator ","0","Jupyter Notebook","2022-06-26T09:25:11Z","Repository Search","Name/Description/README"
"dianacristolovean/2Market-Exploratory-Analysis-and-Insights","https://github.com/dianacristolovean/2Market-Exploratory-Analysis-and-Insights","This was the first project I completed as part of the LSE Data Analytics Career Accelerator course","0","Not specified","2025-07-24T14:07:38Z","Repository Search","Name/Description/README"
"dianacristolovean/Employer-Project-Delivering-Real-Business-Insights","https://github.com/dianacristolovean/Employer-Project-Delivering-Real-Business-Insights","As part of the LSE Data Analytics Career Accelerator's capstone experience, I had the privilege of being part of a six-person analytics team in collaboration with an industry partner to address a genuine business challenge over six weeks, and got a mark of 82% (Distinction)","0","Not specified","2025-07-24T17:22:57Z","Repository Search","Name/Description/README"
"dianacristolovean/NHS-Data-Analysis-Using-Python","https://github.com/dianacristolovean/NHS-Data-Analysis-Using-Python","The second assignment I completed as part of the LSE Data Analytics Career Accelerator course, for which I achieved a mark of 81% (distinction).","0","Jupyter Notebook","2025-07-24T15:08:59Z","Repository Search","Name/Description/README"
"dianacristolovean/Turtle-Games-Predicting-Future-Outcomes","https://github.com/dianacristolovean/Turtle-Games-Predicting-Future-Outcomes","The third assignment I completed as part of the LSE Data Analytics Career Accelerator course, for which I achieved a mark of 86% (distinction).  For this project I used Python and R.","0","Jupyter Notebook","2025-07-24T15:19:23Z","Repository Search","Name/Description/README"
"Dzadz81/Dzadz81","https://github.com/Dzadz81/Dzadz81","Config files for my GitHub profile.","0","Not specified","2023-08-03T05:19:17Z","Repository Search","Name/Description/README"
"eozyurt/LSE_DA301_Assignment_PythonTurtleGames","https://github.com/eozyurt/LSE_DA301_Assignment_PythonTurtleGames","LSE Data Analytics Online Career Accelerator Course 3 Data Analytics using Python Assignment: Predicting future outcomes","0","Jupyter Notebook","2023-10-01T19:03:51Z","Repository Search","Name/Description/README"
"eozyurt/LSE_NHS_Diagnostic_Analysis_using_Python","https://github.com/eozyurt/LSE_NHS_Diagnostic_Analysis_using_Python","LSE Data Analytics Career Accelerator  Program Course 2: Data Analytics using Python","1","Jupyter Notebook","2024-12-29T20:51:58Z","Repository Search","Name/Description/README"
"FilipeFBastos/LSE-Data-Analytics-Online-Career-Accelerator-Course-301-Advanced-Analytics-for-Organisational-Impac","https://github.com/FilipeFBastos/LSE-Data-Analytics-Online-Career-Accelerator-Course-301-Advanced-Analytics-for-Organisational-Impac","In this repository I will have all the practical activities complete as part of LSE Data Analytics Online Career Accelerator Course 301: Advanced Analytics for Organisational Impact","0","Jupyter Notebook","2023-03-04T14:11:18Z","Repository Search","Name/Description/README"
